step,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.9969104016477858,0.9990328820116054,0.9980657640232108,0.0,0.9895038167938931,1.0,0.0,0.0,0.0,0.9764705882352941,0.0,0.0,0.0,0.0,0.9908722109533469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8533872598584429,0.0,0.0,0.0,0.0,0.002074688796680498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017839444995044598,0.0,0.0,0.0010121457489878543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03696498054474708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.9837728194726166,0.9503105590062112,1.0,0.8169291338582677,0.3191699604743083,0.86,0.0,0.0,0.0,0.9725759059745348,0.0,0.7962781586679726,0.0,0.0,0.31086142322097376,0.0,0.0,0.0,0.0,0.09063745019920319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8544176706827309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002014098690835851,0.0,0.0,0.00411522633744856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.002109704641350211,1.0,0.00322234156820623,1.0,0.9647619047619047,0.0,0.0,0.0,0.9716024340770791,0.0,0.9226069246435845,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8227459016393442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8466666666666667,0.0,0.0,0.0,0.0,0.0,0.0009775171065493646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3482142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005060728744939271,0.0,0.0,0.0,0.0,0.0,0.003033367037411527,0.0,0.0,0.0,0.0
4,0.013555787278415016,0.0410958904109589,0.9980295566502463,0.7497612225405922,1.0,0.9903938520653218,0.0,0.0,0.0,0.964,0.0,0.935823754789272,0.0,0.0,0.9979402677651905,0.0,0.0,0.0,0.0,0.8744855967078189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763023493360572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003036437246963563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2455795677799607,0.0,0.0,0.0,0.0,0.0,0.0010152284263959391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010050251256281408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.998025666337611,0.9960199004975124,0.9969758064516129,0.0,0.998992950654582,0.9919436052366566,0.0,0.0,0.0,0.01104417670682731,0.0,0.8862461220268872,0.0,0.0,0.998989898989899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7690086621751684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2309217046580773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06013579049466537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.022448979591836733,0.5223300970873787,0.9919517102615694,0.7907869481765835,0.9980430528375733,0.6628865979381443,0.0,0.0,0.0,0.9308666017526777,0.0,0.02815533980582524,0.0,0.0,0.9268795056642637,0.0,0.0,0.0,0.0,0.9098196392785571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8268268268268268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28294177732379977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010298661174047373,0.0,0.0,0.0,0.0
7,0.000975609756097561,0.9889336016096579,0.9272151898734177,0.9527938342967245,0.30465587044534415,0.9410569105691057,0.0,0.0,0.0,0.9590336134453782,0.0,0.9246987951807228,0.0,0.0,0.9989484752891693,0.0,0.0,0.0,0.0,0.9422348484848485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8827098078867543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001996007984031936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42661448140900193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.9989764585465711,0.0,0.9990485252140818,0.0,0.9978902953586498,0.9853095487932844,0.0,0.0,0.0,0.6857142857142857,0.0,0.8824644549763033,0.0,0.0,0.9990167158308751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916013437849944,0.0,0.0,0.0,0.0,0.0010204081632653062,0.0,0.0,0.0,0.0,0.5533399800598205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26753507014028055,0.0,0.0,0.0,0.0,0.000975609756097561,0.0,0.0,0.0,0.0,0.017964071856287425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010224948875255625,0.0,0.0,0.0,0.0,0.0,0.0019860973187686196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00404040404040404,0.0,0.0,0.0,0.0
9,0.8209255533199196,0.007650273224043716,0.9979959919839679,0.001034126163391934,0.9459203036053131,0.6833824975417896,0.0,0.0,0.0,0.5265610438024231,0.0,0.012036108324974924,0.0,0.0,0.9958027282266527,0.0,0.0,0.0,0.0,0.6214953271028038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8865877712031558,0.0,0.0,0.0,0.0,0.0,0.003872216844143272,0.0,0.0,0.0,0.005836575875486381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005934718100890208,0.0,0.0,0.0,0.0009652509652509653,0.0,0.0,0.0,0.0,0.0,0.15980392156862744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009606147934678194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009970089730807576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0010438413361169101,0.0,1.0,0.0,0.9786150712830958,0.9646107178968655,0.0,0.0,0.0,0.9343780607247796,0.0,0.8905180840664711,0.0,0.0,0.9969788519637462,0.0,0.0,0.0,0.0,0.8723608445297505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8625730994152047,0.0,0.0,0.0,0.0,0.003033367037411527,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.004171011470281543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36390827517447655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009940357852882703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
