Epoch 1, Loss: 0.5695522768517672, Accuracy: 0.6062
Epoch 2, Loss: 0.2684045436523728, Accuracy: 0.8251666666666667
Epoch 3, Loss: 0.22276068201004448, Accuracy: 0.8631333333333333
Epoch 4, Loss: 0.2108989469075607, Accuracy: 0.8665666666666667
Epoch 5, Loss: 0.1964447749620777, Accuracy: 0.8721666666666666
Epoch 6, Loss: 0.19274699864751202, Accuracy: 0.8762
Epoch 7, Loss: 0.19584017954135347, Accuracy: 0.8747333333333334
Epoch 8, Loss: 0.183288452988964, Accuracy: 0.8816333333333334
Epoch 9, Loss: 0.19108212038369501, Accuracy: 0.8773333333333333
Epoch 10, Loss: 0.19699309602127238, Accuracy: 0.8726
Epoch 11, Loss: 0.1928727803593975, Accuracy: 0.8740666666666667
Epoch 12, Loss: 0.1924525009373487, Accuracy: 0.8791666666666667
Epoch 13, Loss: 0.1955236010569132, Accuracy: 0.8739333333333333
Epoch 14, Loss: 0.19465159056550366, Accuracy: 0.8753333333333333
Epoch 15, Loss: 0.18843431859198262, Accuracy: 0.8792333333333333
Epoch 16, Loss: 0.190657647863283, Accuracy: 0.8763666666666666
Epoch 17, Loss: 0.18683111061484126, Accuracy: 0.8801
Epoch 18, Loss: 0.19187942387188894, Accuracy: 0.8765333333333334
Epoch 19, Loss: 0.1923190489158792, Accuracy: 0.8755666666666667
Epoch 20, Loss: 0.18793664594828072, Accuracy: 0.8772666666666666
Epoch 21, Loss: 0.19295275981648494, Accuracy: 0.8736
Epoch 22, Loss: 0.18926495225247691, Accuracy: 0.8778666666666667
Epoch 23, Loss: 0.19023052830312212, Accuracy: 0.8771666666666667
Epoch 24, Loss: 0.1806611483758789, Accuracy: 0.8799333333333333
Epoch 25, Loss: 0.18051697604231914, Accuracy: 0.8786666666666667
Epoch 26, Loss: 0.17749563932923948, Accuracy: 0.8797666666666667
Epoch 27, Loss: 0.16881009885820292, Accuracy: 0.8856666666666667
Epoch 28, Loss: 0.17107260681815067, Accuracy: 0.8887333333333334
Epoch 29, Loss: 0.16992828578262006, Accuracy: 0.8899
Epoch 30, Loss: 0.1625111418760429, Accuracy: 0.8972
Epoch 31, Loss: 0.15447729210353503, Accuracy: 0.9099333333333334
Epoch 32, Loss: 0.15768804723175905, Accuracy: 0.9100666666666667
Epoch 33, Loss: 0.14464127777491587, Accuracy: 0.9200666666666667
Epoch 34, Loss: 0.14482925181924286, Accuracy: 0.9203
Epoch 35, Loss: 0.1517307179964195, Accuracy: 0.9151333333333334
Epoch 36, Loss: 0.1462553746493186, Accuracy: 0.9200666666666667
Epoch 37, Loss: 0.1454201919042458, Accuracy: 0.9188666666666667
Epoch 38, Loss: 0.14728946769136494, Accuracy: 0.9170666666666667
Epoch 39, Loss: 0.1413163218205258, Accuracy: 0.9206333333333333
Epoch 40, Loss: 0.14085607571622072, Accuracy: 0.9223333333333333
Epoch 41, Loss: 0.14272998847951324, Accuracy: 0.9205
Epoch 42, Loss: 0.14663885173908733, Accuracy: 0.9199
Epoch 43, Loss: 0.1438272687906431, Accuracy: 0.9191
Epoch 44, Loss: 0.14768731638284052, Accuracy: 0.9197
Epoch 45, Loss: 0.14379664781992718, Accuracy: 0.9212
Epoch 46, Loss: 0.14755002819633078, Accuracy: 0.9192
Epoch 47, Loss: 0.14629942349205582, Accuracy: 0.9189333333333334
Epoch 48, Loss: 0.13628114273740075, Accuracy: 0.9228333333333333
Epoch 49, Loss: 0.14284653696468322, Accuracy: 0.9191666666666667
Epoch 50, Loss: 0.14978182549446317, Accuracy: 0.9168
Epoch 51, Loss: 0.2841051832725436, Accuracy: 0.8445
Epoch 52, Loss: 0.16221513968529339, Accuracy: 0.9178333333333333
Epoch 53, Loss: 0.15629788216645435, Accuracy: 0.9178333333333333
Epoch 54, Loss: 0.14882207194627342, Accuracy: 0.9195
Epoch 55, Loss: 0.14637117132039393, Accuracy: 0.9215
Epoch 56, Loss: 0.14609669275202994, Accuracy: 0.9205333333333333
Epoch 57, Loss: 0.14727294539748612, Accuracy: 0.9194333333333333
Epoch 58, Loss: 0.14666043897554026, Accuracy: 0.9208333333333333
Epoch 59, Loss: 0.14479732620766608, Accuracy: 0.9195666666666666
Epoch 60, Loss: 0.1543737522373765, Accuracy: 0.9155666666666666
Epoch 61, Loss: 0.14750640511007632, Accuracy: 0.9182
Epoch 62, Loss: 0.14569202286459632, Accuracy: 0.9211333333333334
Epoch 63, Loss: 0.13874686951354398, Accuracy: 0.9223666666666667
Epoch 64, Loss: 0.14646296575665474, Accuracy: 0.9193666666666667
Epoch 65, Loss: 0.142843454381672, Accuracy: 0.9195
